시간,상태,스텝,내용
2026-04-26 19:48:07,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 19:48:15,RUN,COMPLETE,자동운전 완료
2026-04-26 19:52:51,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 19:52:59,RUN,COMPLETE,자동운전 완료
2026-04-26 19:53:22,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 19:53:30,RUN,COMPLETE,자동운전 완료
2026-04-26 20:00:35,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:00:44,RUN,COMPLETE,자동운전 완료
2026-04-26 20:01:27,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:01:36,RUN,COMPLETE,자동운전 완료
2026-04-26 20:01:44,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:02:11,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:12:42,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:12:50,RUN,COMPLETE,자동운전 완료
2026-04-26 20:12:54,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:13:01,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:13:19,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:13:21,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:13:27,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:13:35,RUN,COMPLETE,자동운전 완료
2026-04-26 20:13:40,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:15:28,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:15:36,RUN,COMPLETE,자동운전 완료
2026-04-26 20:15:39,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:15:44,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:15:52,RUN,COMPLETE,자동운전 완료
2026-04-26 20:29:23,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:29:31,RUN,COMPLETE,자동운전 완료
2026-04-26 20:29:38,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:29:47,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:30:56,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:31:01,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:31:04,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:31:25,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:31:33,RUN,COMPLETE,자동운전 완료
2026-04-26 20:31:50,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:31:58,RUN,COMPLETE,자동운전 완료
2026-04-26 20:32:04,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:32:12,RUN,COMPLETE,자동운전 완료
2026-04-26 20:32:31,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:32:39,RUN,COMPLETE,자동운전 완료
2026-04-26 20:32:49,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:32:56,RUN,DOOR_CHECK,자동운전 시작
2026-04-26 20:33:04,RUN,COMPLETE,자동운전 완료
